setsockopt: Protocol not available
455.224 8.46126 106 2
453.224 265.461 106 2
455.051 9.44607 100 2
452.949 266.423 106 0
454.981 10.4436 94 2
452.673 267.384 106 0
454.807 11.4284 100 1
452.298 268.311 112 1
454.738 12.426 94 2
452.023 269.272 106 2
454.772 13.4254 88 2
451.849 270.257 100 2
454.912 14.4157 82 2
451.574 271.218 106 1
455.051 15.4059 82 0
451.199 272.145 112 1
455.19 16.3962 82 0
450.729 273.028 118 1
455.432 17.3665 76 2
450.355 273.956 112 2
455.674 18.3368 76 0
449.98 274.883 112 0
455.916 19.3071 76 0
449.606 275.81 112 0
456.055 20.2974 82 1
449.136 276.693 118 1
456.297 21.2677 76 2
448.667 277.576 118 0
456.639 22.2073 70 2
448.197 278.459 118 0
456.881 23.1776 76 1
447.823 279.386 112 2
457.02 24.1679 82 1
447.448 280.313 112 0
457.055 25.1673 88 1
447.073 281.24 112 0
456.985 26.1649 94 1
446.699 282.168 112 0
456.915 27.1624 94 0
446.324 283.095 112 0
456.846 28.16 94 0
445.95 284.022 112 0
456.88 29.1594 88 2
445.575 284.949 112 0
456.811 30.1569 94 1
445.2 285.876 112 0
456.637 31.1418 100 1
444.826 286.803 112 0
456.567 32.1393 94 2
444.356 287.686 118 1
456.498 33.1369 94 0
443.887 288.569 118 0
456.428 34.1344 94 0
443.417 289.452 118 0
456.254 35.1193 100 1
443.043 290.38 112 2
456.081 36.1041 100 0
442.573 291.262 118 1
455.907 37.0889 100 0
442.014 292.091 124 1
455.733 38.0737 100 0
441.371 292.858 130 1
455.458 39.0349 106 1
440.652 293.552 136 1
455.083 39.9621 112 1
439.864 294.168 142 1
454.807 40.9234 106 2
439.145 294.863 136 2
454.433 41.8506 112 1
438.425 295.557 136 0
453.963 42.7335 118 1
437.706 296.252 136 0
453.494 43.6165 118 0
436.918 296.867 142 1
453.119 44.5436 112 2
436.199 297.562 136 2
452.844 45.5049 106 2
435.556 298.328 130 2
452.469 46.4321 112 1
434.913 299.094 130 0
452.094 47.3593 112 0
434.27 299.86 130 0
451.72 48.2865 112 0
433.627 300.626 130 0
451.345 49.2136 112 0
432.908 301.321 136 1
451.069 50.1749 106 2
432.265 302.087 130 2
450.896 51.1597 100 2
431.706 302.916 124 2
450.62 52.121 106 1
431.147 303.745 124 0
450.246 53.0482 112 1
430.677 304.628 118 2
449.776 53.9311 118 1
430.303 305.555 112 2
449.217 54.7601 124 1
429.928 306.482 112 0
448.574 55.5262 130 1
429.653 307.444 106 2
447.855 56.2208 136 1
429.479 308.428 100 2
447.067 56.8365 142 1
429.305 309.413 100 0
